# This file contains a map between the DSID and the name of the histogram to be used by HistNameSvc
# Format: DSID / Name used in HistNameSvc / Description(not used anywhere) / etag / crossSection / kfactor / genFiltEff				
# WARNING 1: for samples with multiple e-tags the e-tag that should be used must be specified in the 4th column
# WARNING 2: if the columns 5-6 are filled the PMG cross-sections will be overwritten with those provided in this file
346344	                           ttH	                 PhPy8EG_A14NNPDF23_NNPDF30ME_ttH125_semilep	e7148	
363507                             VVV                         Sherpa_222_NNPDF30NNLO_WWZ_3l1v2j_EW6    e6379 
363508                             VVV                           Sherpa_222_NNPDF30NNLO_WZZ_4l2j_EW6    e6374
363509                             VVV                         Sherpa_222_NNPDF30NNLO_WZZ_3l1v2j_EW6    e6374
364100	                             Z	        Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CVetoBVeto	e5271	
364101	                             Z	      Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CFilterBVeto	e5271	
364102	                             Z	           Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_BFilter	e5271	
364103	                             Z	      Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CVetoBVeto	e5271	
364104	                             Z	    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CFilterBVeto	e5271	
364105	                             Z	         Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_BFilter	e5271	
364106	                             Z	     Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CVetoBVeto	e5271	
364107	                             Z	   Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CFilterBVeto	e5271	
364108	                             Z	        Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_BFilter	e5271	
364109	                             Z	     Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CVetoBVeto	e5271	
364110	                             Z	   Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CFilterBVeto	e5271	
364111	                             Z	        Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_BFilter	e5271	
364112	                             Z	               Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV500_1000	e5271	
364113	                             Z	             Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV1000_E_CMS	e5271	
364114	                             Z	          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CVetoBVeto	e5299	
364115	                             Z	        Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CFilterBVeto	e5299	
364116	                             Z	             Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_BFilter	e5299	
364117	                             Z	        Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_CVetoBVeto	e5299	
364118	                             Z	      Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_CFilterBVeto	e5299	
364119	                             Z	           Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_BFilter	e5299	
364120	                             Z	       Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_CVetoBVeto	e5299	
364121	                             Z	     Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_CFilterBVeto	e5299	
364122	                             Z	          Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_BFilter	e5299	
364123	                             Z	       Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_CVetoBVeto	e5299	
